id,通用名称,药品名称,注意事项,注意事项关系
139,盐酸舍曲林片,,"1.舍曲林与可增加5-羟色胺神经传导的药物如色氨酸或芬氟拉明合用时应慎重考虑,避免出现可能的药效学相互作用。2.由其它5-羟色胺再摄取抑制剂、抗抑郁药物或抗强迫症药物转换为舍曲林治疗的最佳时机尚无经验。转换治疗时，特别是长效药物如氟西汀，应谨慎小心，应进行慎重的药效学评价和监测。由一种选择性5-羟色胺再摄取抑制剂转换为另一种药物治疗的清洗期目前还未确定。躁狂/轻躁狂的激活作用上市前的试验期间，接受舍曲林治疗的病人约0.4%出现轻躁狂或躁狂。应用其他已上市的抗抑郁药物或抗强迫症药物治疗情感性障碍时，也有报道少数病人出现有躁狂或轻度躁狂。3.抗抑郁药物和抗强迫症药物都有诱发癫痫发作的潜在危险性。所有在用舍曲林治疗抑郁症的试验中，大约有约0.08%出现癫痫发作；在舍曲林治疗惊恐症的试验中没有癫痫发作的报道。在约1800名接受舍曲林治疗的强迫症患者中，有4人（约0.2%）出现抽搐发作，其中3例患者为青少年，2例患有癫痫，1例患者有癫痫家族史，所有这4例患者都没有接受抗癫痫药物治疗。所有癫痫发作尚未确定与舍曲林治疗直接相关。舍曲林还没有在癫痫病人中作过评价，所以应避免用于不稳定性癫痫病人。对病情已控制的癫痫病人，应密切监护，任何服用舍曲林期间出现癫痫发作的患者均应停止给药。4.由于抑郁症病人存在自杀企图的可能性，并可能持续存在直到临床明显缓解时，所以在治疗早期应对有自杀危险的病人进行密切监视。由于已证明强迫症和抑郁症常常共发，故治疗强迫症患者时也应监测其自杀倾向。5.育龄妇女使用舍曲林则应采取足够的安全的避孕措施。6.虽然临床药理学研究显示舍曲林对于精神运动性活动没有影响。然而抗抑郁或抗强迫症药物可以影响从事驾车或操作机器等有潜在危险性的工作时所必须的精力及体能，因此这类病人服用舍曲林应小心。7.肝功能不全患者:伴发肝脏疾病的患者应慎用舍曲林。肝功能损伤患者应减低服药剂量或给药频率。8.肾功能不全患者:无需根据肾功能损害程度调整舍曲林给药剂量。",色氨酸-慎重，芬氟拉明-慎重，氟西汀-慎重，轻躁狂-慎重，躁狂-慎重，癫痫-停用，驾车-不宜，操作机器-不宜，肝功能不全-慎用，伴发肝脏疾病-慎用，肝功能损伤-减量，
140,盐酸帕罗西汀肠溶缓释片,,1.闭角型青光眼、癫痫症、肝肾功能不全等患者慎用或减少用量。2.出现转向躁狂发作倾向时应立即停药。3.用药期间不宜驾驶车辆、操作机械或高空作业。4.服用本品的患者应避免饮酒。,闭角型青光眼-慎用，癫痫病-慎用，肝肾功能不全-慎用，躁狂发作-停用，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜，酒精-禁忌
141,氢溴酸西酞普兰片,,1.停药反应上市后使用本品、其他SNRIs和SSRIs陆续有一些停药后不良事件自发的报道，尤其在突然停药时常可见情绪烦躁、易怒、激越、头昏、感觉异常（电击感）、焦虑、意识模糊、头痛、懒散、情绪不稳定、失眠、轻躁狂、耳鸣和癫痫发作等。以上表现一般为自限性，也有严重停药反应的报道。当患者停用本品时，应注意监测这些可能出现的停药症状。推荐逐渐减量，避免突然停药。如果在减药和停药过程中出现难以耐受的症状时，可以考虑恢复至先前治疗剂量，随后医生再以更慢的速度减药。2.异常出血已有使用SSRIs时出现皮下出血时间和/或出血异常的报告，例如，瘀斑、妇科出血、肠胃出血和其他皮肤或黏膜出血。在服用SSRIs（特别是合并使用已知会影响血小板功能的活性物质或可能增加出血风险的其他活性物质）的患者中以及在具有出血性疾病史的患者中需谨慎使用。3.低钠血症罕有使用SSRI类药物出现低钠血症的报告，可能是由抗利尿激素（SIADH）的异常分泌引起，通常会在治疗终止时恢复正常。特别是老年女性患者可能易发生此类风险。4.静坐不能/精神运动性不安SSRIs/SNRIs的使用已被认为与静坐不能的形成有关，其特点是主观上不愉快或令人不安的躁动，需要不停运动，并且不能安静地坐立。这在治疗的头几周内最可能出现。在患有这些症状的患者中，增加剂量可能是有害的。5.躁狂躁狂抑郁症的患者可能转为躁狂发作。转为躁狂发作的患者应停止使用本品。6.癫痫发作癫痫是使用抗抑郁药物时的一个潜在风险。癫痫发作的患者应该停止使用本品。在患有不稳定性癫痫症的患者中应该避免使用本品，对癫痫已经得到控制的患者应该仔细监控。如果癫痫发作频率增加，则应停止使用本品。7.糖尿病在患有糖尿病的患者中，使用某种SSRI进行治疗可能会改变血糖控制。可能需要对胰岛素和/或口服降糖药的剂量进行调整。8.ECT（电休克疗法）同时给予SSRIs和ECT治疗的临床经验有限，因此，应予谨慎。9.圣约翰草在合并使用本品和含有圣约翰草（贯叶连翘）的草药制剂期间，不良反应可能更常见。因此，不应同时服用本品和圣约翰草制剂。10.精神疾病本品治疗具有抑郁发作的精神疾病患者可能会增加精神疾病症状。应在医生指导下用药。11.辅料（根据各家辅料成分酌情添加此项内容）本品辅料中含有乳糖一水合物。罕见发生遗传性半乳糖不耐受问题，有乳糖酶缺乏症或对葡萄糖-半乳糖吸收不良的患者勿使用本品。12.对驾驶及操作机器能力的影响本品对开车和使用机器的能力具有轻度或中度的影响。精神药品可以降低判断能力和对紧急情况的反应能力。应该告知患者这些影响，并警告他们其开车或操作机器的能力可能会受到影响。13.请置于儿童不易拿到处。,出血-慎用，静坐不能-慎用，精神运动性不安-慎用，躁狂发作-停用，癫痫-停用，乳糖酶缺乏-慎用，葡萄糖吸收不良-慎用，半乳糖吸收不良-慎用，开车-不宜，操作机器-不宜，ECT（电休克疗法）-慎重，
142,null,,尚不明确。,
143,拉莫三嗪片,,曾有皮肤不良反应的报告，一般发生在拉莫三嗪(利必通)开始治疗的前8周。大多数皮疹是轻微的和自限性的。但是，曾罕见严重的、危及生命的皮疹，包括Stevens-Johnson综合征(SJS)和毒性上皮坏死溶解(TEN)的报道(参见[不良反应])。严重皮疹如SJS综合征，在成人及12岁以上儿童的发生率约为1:1000。12岁以下儿童发生的危险高于成人。有研究表明12岁以下儿童发生皮疹且需住院治疗的比率为1:300～1:100(参见[不良反应])。儿童最初发生的皮疹可能会被误认为是感染；在本品治疗的前8周，如果儿童出现皮疹和发热症状医生应该考虑有药物反应的可能性。此外，发生皮疹总的危险性与下列因素很有关系－拉莫三嗪的初始剂量太高和随后增加的剂量超过推荐剂量(参见[用法用量])。－同时应用丙戊酸钠(参见[用法用量])。出现皮疹的所有病人(成人和儿童)都应迅速被评估，并立即停用拉莫三嗪，除非可确诊皮疹与此药无关。也有报告认为皮疹是过敏综合征的一部分，伴有多种形式的全身症状，包括发热、淋巴腺病、颜面水肿和血液及肝的异常。这种综合征引起临床反应的严重程度有很大区别；罕见弥漫性血管内凝血(DIC)和多器官衰竭。即使皮疹不明显，注意过敏反应的早期表现(如发热、淋巴腺病)是十分重要的。如果出现症状和体征，应告知病人立即寻医。如早期反应的体征和症状出现，应立即评估病人；如不能确定另有病因，应停用本品。当与其他抗癫痫药合用时，突然停用本品可引起癫痫反弹发作。除非出于安全性的考虑(例如皮疹)要求突然停药，否则本品的剂量应该在两周内逐渐减少至停药。在拉莫三嗪添加疗法的临床试验期间，曾罕见伴癫痫持续状态的快速、进行性疾病，如横纹肌溶解、多器官失调和弥漫性血管内凝血(DIC)，随后出现死亡。拉莫三嗪与上述反应的关系尚未建立。本品是弱的二氢叶酸还原酶的抑制剂，因而长期治疗时就有可能干扰叶酸的代谢。然而，人类长期给药达一年，拉莫三嗪对血红蛋白的浓度、细胞平均容量和血清或红细胞的叶酸浓度没有引起明显的变化;用药长达五年对红细胞的叶酸浓度也无明显的影响。在晚期肾衰病人的单剂量研究中，血浆中拉莫三嗪的浓度没有明显改变。但是，可以预计葡萄糖醛酸代谢物会蓄积；因此，肾衰病人应慎用。严重肝功能受损病人(Child-PughC级)，初始和维持剂量应减少75%。严重肝功能受损病人应谨慎用药。对驾驶和操作机器能力的影响两项志愿者参加的研究证明拉莫三嗪对细微视觉运动的协调、眼球活动、身体摆动和主观镇静作用的影响与安慰剂没有不同。在拉莫三嗪的临床试验中，神经病学上的不良反应如头晕和复视曾有报道。因为所有抗癫痫药物的治疗都存在个体差异，病人应就驾驶和癫痫的特殊问题咨询医生。,过敏性皮疹-停用，肝功能-检查，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜，肾衰病-慎用，严重肝功能受损-慎用
144,丙戊酸镁缓释片,,1、丙戊酸副作用发生，往往提示血浆丙戊酸浓度大于120μg/ml，故建议有条件的医院，最好进行血药浓度检查。2、孕妇、肝病患者，血小板减少症病人慎用。在服药期间注意对症检查，如肝功能、血常规、血小板计数等。3、出现意识障碍、肝功能异常、胰腺炎等严重副反应时，应停药。4、用药期间避免饮酒，饮酒可加重镇静作用。5、停药应逐渐减量以防再次出现发作，取代其他抗惊厥药物时，本品应逐渐增加用量，而被取代药应逐渐减少用量。6、对诊断的干扰，尿酮试验可出现假阳性，甲状腺功能试验可能受影响。7、可使乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶轻度升高并提示无症状性肝脏中毒，血清胆红素可能升高提示潜在的严重肝脏中毒。8、肾功能不全的患者应慎用，由于游离血清丙戊酸水平增高，因而需要减少丙戊酸的剂量。9、虽偶有报导应用本品时常出现免疫异常，但是在系统性红斑狼疮的病人使用时，需要权衡本品的效益与危险性。10、偶有胰腺炎报导，因此当病人患急性腹痛时，在手术前，应查血清淀粉酶。,孕妇-慎用，肝病患者-慎用，血小板减少症-慎用，肝功能-检查，血常规-检查，血小板计数-检查，意识障碍-停用，肝功能异常-停用，胰腺炎-停用，酒-禁忌，肾功能不全-慎用，
145,奥卡西平片,,1.应放在儿童不能接触和看见的地方。2.本品可引起低钠血症，服药期间应定时检查血钠。若血钠125mmol/L，通过减量、停药或保守处理（如限制饮水）后血钠水平可恢复正常3.本品可能降低激素避孕药效果，建议服用本品期间改用其它不含激素的避孕方法。4.应逐渐减量至停药，以最大可能地避免癫痫发作频率增加。5.本品可引起头晕和嗜睡，服用本品后不要驾驶汽车或操作机器。6.肾损害患者应从常规起始剂量的一半开始服用，并逐渐缓慢加量。7.对卡马西平过敏的患者只有在可能的益处大于潜在的危险时才可服用本品；如出现过敏反应迹象或临床症状，应立即停药。,驾驶汽车-不宜，操作机器-不宜
146,左乙拉西坦片,,1.根据当前的临床实践，如需停止服用开浦兰，建议逐渐停药。(例如成人每隔2-4周，每次减少500mg，每日2次；儿童应每隔2周，每次减少10mg/kg，每日2次)。2.对于肾功能损害的患者左乙拉西坦的服用剂量需要调整，对于严重肝功能损害，在选择服用剂量之前，需进行肾功能检测，患者的服用剂量需参照[用法用量]3.曾有关于服用抗癫痫药物包括左乙拉西坦治疗的癫痫患者出现自杀，自杀未遂，自杀意念和行为的报道。基于随机安慰剂对照的抗癫痫药物临床研究进行的荟萃分析显示了自杀意念及其行为风险的轻度增加。关于该风险增加的机制尚属未知。(详见内包装说明书),肾功能-检查
147,复方苯巴比妥溴化钠片,,1、服用本品过程中，不可突然停药，如换需服其他抗癫痫药应遵医嘱。2、本品有吸湿性，应密闭，于阴凉干燥处保存（但吸湿后药效不变）。3、儿童必须在家长监护下使用。4、如服用过量或发生不良反应立即就医。5、请将此药放在儿童不能接触的地方。6、过量服用本品可因中枢神经过度抑制而致急性中毒。7、当本品性状发生改变时禁止使用。,
148,托吡酯片,,包括本药在内的抗癫痫药物应逐渐停药，以使癫痫发作频率增高的可能性减至最低。在成人的临床试验中，每周减量100mg/日。某些病人在无并发症的情况下停药过程可加速。原形托吡酯及其代谢产物的主要排泄途径为经肾脏清除。肾脏清除的能力与肾脏的功能有关，而与年龄无关。伴有中度或重度肾功能损害的患者达到稳态血浆浓度的时间可能需10-15天，而肾功能正常的患者只需4-8天。对所有患者的剂量调整均应依据临床疗效进行（如控制发作，避免副作用），并且需了解对于已知有肾脏损害的患者。详情见内包装说明书。,
149,奥卡西平片,,1.对卡马西平过敏的病人，在使用本品治疗过程中，也可能发生过敏反应（如严重的皮肤反应）。卡马西平和奥卡西平的交叉过敏反应率为25-30%。2.过敏反应也可以发生在对卡马西平没有过敏史的病人。作为一条原则，在首次出现过敏反应征象的时候，应该立即停用本品。3.可达2.7%的病人使用本品治疗时，血清钠会下降到125mmol/L以下，但常常没有临床症状，并不需要改变治疗。如果考虑临床干预，来自临床试验的经验显示，减少或者停用本品，或者对病人采取保守治疗（例如减少液体的摄入），血清钠水平都会回到正常基线以上。以下情况需注意有肾脏疾病并需要摄入大量液体的病人；有低钠血症的病人；同时使用能降低血钠水平的药物(例如利尿剂，去氨加压素)，或者是使用非甾体抗炎药（例如吲哚美辛）治疗的病人，在开始用本品前应该测定血清钠水平，开始治疗以后大约2周测定血清钠水平。然后，在治疗的前3个月中，每隔1个月或者根据临床需要测定血清钠水平。对于上述提到的危险因素在老龄病人中应更加注意。在用降低血钠水平的药物治疗的同时又使用本品治疗的病人，也应进行血清钠的监测。作为一条原则，在用本品治疗时，如果出现低钠血症的临床表现，就应该考虑测定血清钠水平。另外，测定血清钠水平可以作为实验室监测常规指标的一部分。4.心衰的病人，应定期进行体重监测，以确定是否有液体潴留。如果有液体潴留或者心功能的恶化，应测定血清钠水平。如果明确有低钠血症，限制液体的摄入是一条重要的治疗办法。5.尽管临床试验没有提示用奥卡西平治疗能导致心脏传导阻滞，然而，从理论上讲，对有心脏传导疾病的病人（例如房室传导阻滞，心律失常），应该小心地监测。（心律失常（cardiacarrhythmia）指心律起源部位、心搏频率与节律以及冲动传导等任一项异常。“心律紊乱”或“心律不齐”等词的含义偏重于表示节律的失常，心律失常既包括节律又包括频率的异常，更为确切和恰当。正常心律起源于窦房结，频率60次～100次/min（成人），比较规则。窦房结冲动经正常房室传导系统顺序激动心房和心室，传导时间恒定（成人0.12～1.21秒）；冲动经束支及其分支以及浦肯野纤维到达心室肌的传导时间也恒定（0.10秒）。）6.有关肝炎的病例报道非常罕见，且在大多数病例中，疾病的自然病程良好。如果有理由怀疑肝功能有损害，应进行检查，考虑终止本品的治疗。和其它抗癫痫药一样，本品应避免突然停药。应该逐渐地减少剂量，以避免诱发痫性发作（发作加重或癫痫持续状态）。如果不得不突然停药，例如由于严重的不良反应，应该在合适的抗癫痫药（如安定静脉或直肠给药，苯妥英静脉给药）发挥作用的情况下换用另外一种抗癫痫药，并在严格的观察下进行。7.奥卡西平的酶诱导能力低于卡马西平。在某些情况下，同时使用的其它抗癫痫药的剂量应该降低。应告知育龄期的女性，本品和激素类避孕药同时使用能够导致避孕效果的丧失。对于使用本品的育龄女性，建议使用其它非激素类避孕药。8.接受本品治疗的病人，应避免饮酒以免发生附加的镇静作用。9.对驾驶和操纵机器能力的影响本品能够产生眩晕和嗜睡，导致反应能力受损。因此，驾驶和操纵机器时，应该特别小心。(详见内包装说明书),血清钠下降-停用，驾驶-不宜，操纵机器-不宜
150,卡马西平片,,血液学影响、严重皮肤反应、药物基因组学、遗传筛查的局限性、过敏反应、其他皮肤反应、癫痫发作、肝脏功能、肾脏功能等。(详见内包装说明书),
151,加巴喷丁胶囊,,临床对照研究中，16%的患者出现了可能有临床意义的血糖波动（3.3mmol/L或者≥7.8mmol/L，正常值范围3.5～5.5mmol/L）。因此糖尿病患者需经常监测血糖，如必要，随时调整降糖药剂量。肾功能不全的患者，服用迭力(加巴喷丁胶囊)必须减量（见用法用量）。曾有服用本品发生出血性胰腺炎的报告。因此，如出现胰腺炎的临床症状（持续性腹痛、恶心、反复呕吐），应立即停用本品，并进行全面的体检，临床和实验室检查以期尽早诊断胰腺炎。对慢性胰腺炎的患者，尚无充分的使用加巴喷丁的经验，应由医生决定加巴喷丁的使用。对驾驶及机械操作的影响加巴喷丁作用于中枢神经系统，可引起镇静、眩晕或类似症状。因此，即便按照规定剂量服用本品，也可降低反应速度，使驾驶能力、操纵复杂机器的能力和在暴露环境中工作的能力受到损害，特别在治疗初期、药物加量、更换药物时或者同时饮酒时。,血糖-检查，肾功能不全-减量，持续性腹痛-停用，恶心-停用，反复呕吐-停用，驾驶-不宜，机械操作-不宜
152,拉莫三嗪片,,有皮肤不良反应的报告，一般发生在拉莫三嗪(利必通)开始治疗的前8周。大多数皮疹是轻微的和自限性的。但是，曾罕见严重的、危及生命的皮疹，包括Stevens-Johnson综合征(SJS)和毒性上皮坏死溶解(TEN)的报道(参见[不良反应])。严重皮疹如SJS综合征，在成人及12岁以上儿童的发生率约为1:1000。12岁以下儿童发生的危险高于成人。有研究表明12岁以下儿童发生皮疹且需住院治疗的比率为1:300～1:100(参见[不良反应])。儿童最初发生的皮疹可能会被误认为是感染；在本品治疗的前8周，如果儿童出现皮疹和发热症状医生应该考虑有药物反应的可能性。此外，发生皮疹总的危险性与下列因素很有关系－拉莫三嗪的初始剂量太高和随后增加的剂量超过推荐剂量(参见[用法用量])。－同时应用丙戊酸钠(参见[用法用量])。出现皮疹的所有病人(成人和儿童)都应迅速被评估，并立即停用拉莫三嗪，除非可确诊皮疹与此药无关。也有报告认为皮疹是过敏综合征的一部分，伴有多种形式的全身症状，包括发热、淋巴腺病、颜面水肿和血液及肝的异常。这种综合征引起临床反应的严重程度有很大区别；罕见弥漫性血管内凝血(DIC)和多器官衰竭。即使皮疹不明显，注意过敏反应的早期表现(如发热、淋巴腺病)是十分重要的。如果出现症状和体征，应告知病人立即寻医。如早期反应的体征和症状出现，应立即评估病人；如不能确定另有病因，应停用本品。当与其他抗癫痫药合用时，突然停用本品可引起癫痫反弹发作。除非出于安全性的考虑(例如皮疹)要求突然停药，否则本品的剂量应该在两周内逐渐减少至停药。在拉莫三嗪添加疗法的临床试验期间，曾罕见伴癫痫持续状态的快速、进行性疾病，如横纹肌溶解、多器官失调和弥漫性血管内凝血(DIC)，随后出现死亡。拉莫三嗪与上述反应的关系尚未建立。本品是弱的二氢叶酸还原酶的抑制剂，因而长期治疗时就有可能干扰叶酸的代谢。然而，人类长期给药达一年，拉莫三嗪对血红蛋白的浓度、细胞平均容量和血清或红细胞的叶酸浓度没有引起明显的变化;用药长达五年对红细胞的叶酸浓度也无明显的影响。在晚期肾衰病人的单剂量研究中，血浆中拉莫三嗪的浓度没有明显改变。但是，可以预计葡萄糖醛酸代谢物会蓄积；因此，肾衰病人应慎用。严重肝功能受损病人(Child-PughC级)，初始和维持剂量应减少75%。严重肝功能受损病人应谨慎用药。对驾驶和操作机器能力的影响两项志愿者参加的研究证明拉莫三嗪对细微视觉运动的协调、眼球活动、身体摆动和主观镇静作用的影响与安慰剂没有不同。在拉莫三嗪的临床试验中，神经病学上的不良反应如头晕和复视曾有报道。因为所有抗癫痫药物的治疗都存在个体差异，病人应就驾驶和癫痫的特殊问题咨询医生。,过敏性皮疹-停用，肝功能-检查，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜，肾衰病-慎用，严重肝功能受损-慎用
153,奥卡西平片,,1.对卡马西平过敏的病人，在使用本品治疗过程中，也可能发生过敏反应（如严重的皮肤反应）。卡马西平和奥卡西平的交叉过敏反应率为25-30%。2.过敏反应也可以发生在对卡马西平没有过敏史的病人。作为一条原则，在首次出现过敏反应征象的时候，应该立即停用本品。3.可达2.7%的病人使用本品治疗时，血清钠会下降到125mmol/L以下，但常常没有临床症状，并不需要改变治疗。如果考虑临床干预，来自临床试验的经验显示，减少或者停用本品，或者对病人采取保守治疗（例如减少液体的摄入），血清钠水平都会回到正常基线以上。以下情况需注意有肾脏疾病并需要摄入大量液体的病人；有低钠血症的病人；同时使用能降低血钠水平的药物(例如利尿剂，去氨加压素)，或者是使用非甾体抗炎药（例如吲哚美辛）治疗的病人，在开始用本品前应该测定血清钠水平，开始治疗以后大约2周测定血清钠水平。然后，在治疗的前3个月中，每隔1个月或者根据临床需要测定血清钠水平。对于上述提到的危险因素在老龄病人中应更加注意。在用降低血钠水平的药物治疗的同时又使用本品治疗的病人，也应进行血清钠的监测。作为一条原则，在用本品治疗时，如果出现低钠血症的临床表现，就应该考虑测定血清钠水平。另外，测定血清钠水平可以作为实验室监测常规指标的一部分。4.心衰的病人，应定期进行体重监测，以确定是否有液体潴留。如果有液体潴留或者心功能的恶化，应测定血清钠水平。如果明确有低钠血症，限制液体的摄入是一条重要的治疗办法。5.尽管临床试验没有提示用奥卡西平治疗能导致心脏传导阻滞，然而，从理论上讲，对有心脏传导疾病的病人（例如房室传导阻滞，心律失常），应该小心地监测。（心律失常（cardiacarrhythmia）指心律起源部位、心搏频率与节律以及冲动传导等任一项异常。“心律紊乱”或“心律不齐”等词的含义偏重于表示节律的失常，心律失常既包括节律又包括频率的异常，更为确切和恰当。正常心律起源于窦房结，频率60次～100次/min（成人），比较规则。窦房结冲动经正常房室传导系统顺序激动心房和心室，传导时间恒定（成人0.12～1.21秒）；冲动经束支及其分支以及浦肯野纤维到达心室肌的传导时间也恒定（0.10秒）。）6.有关肝炎的病例报道非常罕见，且在大多数病例中，疾病的自然病程良好。如果有理由怀疑肝功能有损害，应进行检查，考虑终止本品的治疗。和其它抗癫痫药一样，本品应避免突然停药。应该逐渐地减少剂量，以避免诱发痫性发作（发作加重或癫痫持续状态）。如果不得不突然停药，例如由于严重的不良反应，应该在合适的抗癫痫药（如安定静脉或直肠给药，苯妥英静脉给药）发挥作用的情况下换用另外一种抗癫痫药，并在严格的观察下进行。7.奥卡西平的酶诱导能力低于卡马西平。在某些情况下，同时使用的其它抗癫痫药的剂量应该降低。应告知育龄期的女性，本品和激素类避孕药同时使用能够导致避孕效果的丧失。对于使用本品的育龄女性，建议使用其它非激素类避孕药。8.接受本品治疗的病人，应避免饮酒以免发生附加的镇静作用。9.对驾驶和操纵机器能力的影响本品能够产生眩晕和嗜睡，导致反应能力受损。因此，驾驶和操纵机器时，应该特别小心。(详见包装内部说明书),血清钠下降-停用，驾驶-不宜，操纵机器-不宜，育龄期-慎用
154,癫痫宁片,,尚不明确。,
155,奥卡西平片,,超敏反应该产品上市后收到的Ⅰ型超敏反应包括皮疹、瘙痒、荨麻疹、血管性水肿和过敏反应报告。在使用过曲莱?的患者中有过敏反应和包括咽喉、舌唇和眼睑在内的血管性水肿的病例报道。使用曲莱?的患者若有上述反应发生，应停药并换用其他药物治疗。对卡马西平过敏的病人，在使用本品治疗过程中，也可能发生过敏反应（如严重的皮肤反应）。卡马西平和奥卡西平的交叉过敏反应率为25-30%，参见,皮疹-停用，瘙痒-停用，荨麻疹-停用，血管性水肿-停用，
156,桂芍镇痫片,,尚不明确。,
157,左乙拉西坦片,,根据当前的临床实践，如需停止服用本品，建议逐渐停药。(例如成人每隔2-4周，每次减少500mg，每日2次；儿童应每隔2周，每次减少10mg/kg，每日2次)。临床研究中，一些患者对加用左乙拉西坦治疗有效应，可以停止原合并应用的抗癫痫药物（研究中共有69位患者其中的36位成人患者）。临床研究中报告有14%服用左乙拉西坦的成人及儿童患者癫痫发作频率增加25%以上，但在服用安慰剂的成人及儿童患者中，也各有26%及21%患者癫痫发作频率增加。(详见内包装说明书),
158,痫愈胶囊,,1.孕妇忌服。2.本品用于小儿惊风时，用量遵医嘱。3.本品用于面肌痉挛等面部神经疾病时，应防寒保暖，温水洗脸，防感冒，避免受惊，保持心情舒畅，忌生气，惊怒，激动，精神紧张，多食用含维生素B族类食物。,孕妇-禁忌，
159,丙戊酸钠缓释片,,肝功能异常发生时情况极个别有报导严重肝损害甚至死亡。最高危的病人，特别是接受多种癫痫药治疗者，有严重癫痫发作的婴儿和3岁以下的儿童。尤其是那些伴有脑损害，精神迟滞和或遗传代谢或退化性疾病者。3岁以后，发生率明显下降，并随年龄增长而进一步下降。在大多数病例，肝损害在治疗头六个月里出现。可疑症状临床症状是早期诊断的依据。特别是黄疸出现之前，出现下列症状应考虑到肝脏功能损害的可能，特别是那些高危病人。非特异性症状通常突然出现，如乏力、厌食、嗜睡、思睡，有时伴有反复呕吐和腹痛。癫痫复发。应告诫病人（或患儿家属），当有上述症状出现时，应及时报告医生，并立即进行临床检查及肝功能检查。观察在治疗前应进行肝功能检查，在治疗头6个月内也应定期作肝功能监测。在一般检查中，反映蛋白合成的试验，特别是凝血酶原率最为相关。当确定在异常的低凝血酶原率，特别是伴有其它生化异常（纤维蛋白原和凝血因子明显降低，胆红素增加和转氨酶升高）需要停止本品治疗。作为预防措施，如病人同时服用水杨酸盐也应停用，因为这些药物的代谢途径是相同的。在治疗开始之前或手术前和自发性挫伤或出血时应查血常规，血细胞计数，包括血小板计数，出血时间和凝血时间（见不良反应）。在肾功能不全的病人，由于游离血清丙戊酸水平增高，因而需要减少本品的剂量。偶有报导应用德巴金时常出现免疫功能异常，在系统性红班狼疮的病人使用时，需要权衡本品的利弊。偶有胰腺炎报导。因此当服用本品病人患急性腹疼时，应查血清淀粉酶。(详见内包装说明书),过敏性皮疹-停用，肝功能-检查，肾衰病-慎用，严重肝功能受损-慎用
160,丙戊酸钠口服溶液,,1、于进餐后立即服用，以减少药物对胃部的刺激。2、对诊断的干扰尿酮试验可能由于酮性代谢产物随尿排出，出现假阳性。甲状腺功能试验可能受影响。乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶可能轻度升高，并提示无症状性肝脏中毒。血清胆红素可能升高，可提示潜在的严重肝脏中毒。3、有肝病或明显肝功能损害时禁用。有血液病、肝病史、肾功能损害、器质性脑病时慎用。4、用药前和用药期间应作血细胞包括血小板计数，肝、肾功能检查，肝功能在最初半年内最好每1～2月复查一次，半年后复查间隔酌量延长。5、如拟停药，应逐渐减量，以防再次发作；当取代其他抗惊厥药物时，丙戊酸(钠)用量应逐渐增加，而被取代的药物应逐渐减少，以维持对发作的控制。6、外科手术或其他急症治疗时应考虑可能遇到的出血时间延长或中枢神经抑制药作用的增强。(详见包装内部说明书),肝病-禁用，明显肝功能损害-禁用，血液病-慎用，肝病史-慎用，肾功能损害-慎用，器质性脑病-慎用，血小板计数-检查，肝功能-检查，肾功能-检查，
161,左乙拉西坦片,,根据当前的临床实践，如需停止服用本品，建议逐渐停药。(例如成人每隔2-4周，每次减少500mg，每日2次；儿童应每隔2周，每次减少10mg/kg，每日2次)。临床研究中，一些患者对加用左乙拉西坦治疗有效应，可以停止原合并应用的抗癫痫药物（研究中共有69位患者其中的36位成人患者）。临床研究中报告有14%服用左乙拉西坦的成人及儿童患者癫痫发作频率增加25%以上，但在服用安慰剂的成人及儿童患者中，也各有26%及21%患者癫痫发作频率增加。,
162,普瑞巴林胶囊,,1、正如所有的抗癫痫药物一样，应该逐渐地停用普瑞巴林，以便尽量减小癫痫患者增加发作的可能性。突然或快速停药可引起失眠、恶心、头痛或腹泻，若要停用普瑞巴林，应该用一周以上的时间逐渐减小剂量而至停止。2、普瑞巴林可引起血管性水肿并可伴有面部、嘴（嘴唇、齿龈、舌）、颈（咽、喉）肿胀，上述症状可引起致命性呼吸困难。若出现上述症状患者应立即停药并采取医疗措施。3、普瑞巴林可引起过敏反应，如气喘、呼吸困难、皮疹、麻疹和疱疹。若出现上述症状患者应立即停药并采取医疗措施。4、普瑞巴林可能增加自杀想法和行为的风险，应当警惕消沉症状的出现或恶化、情绪或行为不同寻常的变化或自杀想法、自杀行为、自残想法的出现。忧虑的行为应立即报告给医疗提供者。5、普瑞巴林可引起头晕、嗜睡、视力模糊和其他中枢神经系统征兆和症状。因此，不应驾车和操控复杂机器，或从事其他危险的活动。6、普瑞巴林可引起水肿和体重增加。与噻唑烷二酮类抗糖尿病药联合使用可能会加重水肿和体重增加。对早已患心脏病的患者，普瑞巴林可能增加心力衰竭的危险。7、在标准的临床前致癌研究中，用两种不同种的小鼠进行试验，意外地发现血管肉瘤的发生率高。请仔细阅读说明书并遵医嘱使用。,血管性水肿-停用，气喘-停用，呼吸困难-停用，皮疹-停用，麻疹-停用，疱疹-停用，驾车-不宜，操控复杂机器-不宜，
